vol_requests,title,summary,category_desc,org_title,locality,recurrence_type,start_date_date,end_date_date,Latitude,Longitude,images
2,School Year Internship: Fall 2011 Program Intern,Girls Write Now is accepting applications for volunteer or for-credit interns for Fall 2011. Interns will gain valuable experience with a fast-growing nationally recognized non-profit organization and also enhance his/her career opportunities in the literary and arts education professions.,Education,Girls Write Now,"247 37 Street
  Manhattan, NY 10018",ongoing,August 11 2011,August 22 2011,40.7535,-73.9906,33.jpg
1,School Year Internship: Fall 2011 Development Intern,"Fall internships run from September-December and require 12-16 in-office hours per week with occasional Saturday events. Interns report directly to development staff, assisting with key aspects of funder research, proposal drafting and packaging, outreach, and communications.",Education,Girls Write Now,"247 37 Street
  Manhattan, NY 10018",ongoing,August 15 2011,August 22 2011,40.7535,-73.9906,34.jpg
60,Volunteer Writing Mentor,"ATTENTION PROFESSIONAL WOMEN WRITERS: SHARE YOUR CRAFT AND WORK ONE-TO-ONE WITH AN ASPIRING TEEN WRITER! EXTENDED DEADLINE - JULY 11, 2011 APPLY NOW TO BE A VOLUNTEER WRITING MENTOR FOR A HIGH SCHOOL GIRL.",Education,Girls Write Now,"247 37th Street
  New York City, NY 10018",ongoing,September 1 2011,June 30 2012,40.7535,-73.9906,35.jpg
20,ACADEMIC TUTORING OPPORTUNITIES AT HARLEM RBI: GREAT EXPERIENCE FOR ANYONE,We are currently in the process of recruiting academic tutors for our after school programs. The time commitment is not strenuous. It is also a great opportunity to gain experience working with youth.,Education,Harlem RBI,"333 100th Street
  New York, NY 10029",ongoing,September 23 2011,June 10 2012,40.7865,-73.9444,36.jpg
5,"Journalism, Copywriting, Creative Writing Opportunity","Are you interested in journalism, research, writing and editing, volunteer with us!",Education,Hearts and Minds,"165 105th Street
  New York, NY 10025",ongoing,April 14 2011,April 13 2012,40.79938,-73.9652,37.jpg
1000,E-Mentor,icouldbe.org is an award-winning online mentoring program connecting middle and high school students from diverse communities with mentors from across the country.,Education,icouldbe.org,"25 21st Street
  New York, NY 10010",ongoing,January 6 2011,January 6 2012,40.73957,-73.9889,38.jpg
500,iMentor: We Need More Male Mentors,Join over a thousand professionals in NYC who mentor teens from underserved communities. Most of them had never served as mentors before joining but iMentorâ€™s flexible and supportive mentoring model gave them the opportunity and confidence to try.,Education,iMentor,"30 Broad Street
  New York, NY 10004",ongoing,August 03 2011,August 30 2011,40.70618,-74.0113,39.jpg
500,Be the Change. Become a Mentor!,Join over a thousand professionals in NYC who mentor iMentor teens from underserved communities. Most of them had never served as mentors before joining but iMentorâ€™s flexible and supportive mentoring model gave them the opportunity and confidence to try.,Education,iMentor,"30 Broad Street
  New York, NY 10004",ongoing,April 21 2011,April 20 2012,40.70618,-74.0113,40.jpg
500,Become a Mentor Today!,Looking for a way to give back and change a life? Become a Mentor today! Send one weekly email on an interesting topic that iMentor provides See your mentee once a month for two hours at an iMentor organized group event. Click this posting to learn more!,Education,iMentor,"30 Broad St
  New York, NY 10004",ongoing,April 15 2011,April 14 2012,40.70618,-74.0113,41.jpg
30,Be a Mentor.... Because Every Child Deserves a Chance!,Learn how you can directly make a positive impact on youth in Harlem!,Education,In Arms Reach Inc,"160 CONVENT AVE
  New York City, NY 10031",ongoing,April 27 2011,December 31 2012,40.8192,-73.9502,42.jpg
10,Tutors Needed in Harlem!,Academic tutors needed for one-on-one tutoring sessions on Tuesday and Thursday afternoons.,Education,In Arms Reach Inc,"160 CONVENT AVE
  New York City, NY 10031",ongoing,February 04 2011,February 4 2012,40.8192,-73.9502,43.jpg
4,Latino and African American Youth Serving Program,The International Youth Leadership Institute supports active community leadership and global understanding through Seminars and Travel Programs in Africa and Latin America,Education,International Youth Leadership Institute - NY - New York City,"657 New
  York, NY 10014",ongoing,September 24 2011,July 23 2012,40.73359,-74.0102,44.jpg
10,Science Center Open House Volunteers!,"The Iridescent NYC Science Studio (www.iridescentlearning.org) aims to evolve the press-and-watch science center model into a hub of design, creativity, and learning by doing. We are looking for volunteers to operate cool exhibits at our first open house!",Education,Iridescent,"890 Garrison Ave
  Bronx, NY 10474",onetime,March 18 2011,March 18 2011,40.81729,-73.8918,45.jpg
30,Winter Literacy Night!,Take part in a fun night of reading and creating crafts with children!,Education,Jumpstart for Young Children,"560 Theriot Avenue
  Bronx, NY 10473",onetime,February 17 2011,February 17 2011,40.81669,-73.8609,46.jpg
20,Jumpstart's Friendship Day at Positive Beginnings,"Jumpstart at St. John's University is looking for volunteers to come read about friendship, make friendship bracelets and collages with preschool children!",Education,Jumpstart for Young Children,"71 25 Main Street
  Flushing, NY 11367",onetime,February 18 2011,February 18 2011,40.72719,-73.8221,47.jpg
8,Computer Skills Tutor,KFT is seeking Computer Skills Tutors to instruct fifteen 3rd to 6th grade students at P.S. 59 in basic and relevant computer skills. The Computer Skills Tutor will be part of a team of tutors who will work together to present classroom computer lessons and work in small groups with the students.,Education,Kids For Tomorrow,"353 Third Ave
  New York, NY 10010",ongoing,September 04 2011,December 19 2011,40.74053,-73.9819,48.jpg
35,Youth Service Day: Neighborhood Festival 2011,Join KHCC and Horace Mann High School for a celebration of service learning!,Education,Kingsbridge Heights Community Center (KHCC),"3101 Kingsbridge Terrace
  Bronx, NY 10463",onetime,April 16 2011,April 16 2011,40.87751,-73.9003,49.jpg
25,Tutors Needed: High School of Art and Design,Learning Leaders currently seeks tutors to help in all subject areas at High School of Art and Design. The High School of Art and Design is the only high school for the development of artists interested in the commercial arts. Studio classes are conducted as in a professional agency.,Education,Learning Leaders,"1075 Second Avenue
  New York, NY 10022",ongoing,September 15 2011,June 30 2012,40.75909,-73.9655,50.jpg
30,I would like to become a mentor,"A mentorâ€™s main purpose is to help a child define individual goals and find ways to achieve them. Since the expectation of each child will vary, the mentorâ€™s job is to encourage the development of a flexible relationship that responds to both the mentorâ€™s and the childâ€™s needs.",Education,"Mentors Organized means Victory for Everyone,(MOVE)Inc.","477 Greene Ave
  brooklyn, NY 11216",ongoing,January 24 2011,January 24 2012,40.68829,-73.9522,51.jpg
5,Mentor Homeless Youth,Mentor homeless children between the ages of 2 to 12 at our weekend enrichment program.,Education,Metropolitan Council on Jewish Poverty,"Hillside Avenue Queens, NY 11432",ongoing,September 19 2011,December 31 2011,40.71075,-73.793,52.jpg
10,Homework Helpers,Has math always come easily to you? Do you know what prepositions and adjectives are? Are you an expert on ecosystems? Well . . . have you ever considered sharing your knowledge by becoming a tutor for children in need?,Education,Metropolitan Council on Jewish Poverty,"80 Maiden Lane
  New York, NY 10038",ongoing,April 5 2011,June 29 2011,40.70712,-74.0073,53.jpg
100,Volunteer Instructors/Teachers/Mentors,"Currently looking for volunteer mentors and instructors who will work on a team to provide SAT test prep, writing and critical thinking instruction, mentoring, and college prep services.",Education,"Minds Matter of NYC, Inc.","165 105th Street
  New York, NY 10025",ongoing,September 8 2011,November 7 2011,40.75935,-74.0025,54.jpg
50,High School Goal Weekend,"High School Goal Weekend! Saturday, September 24 and Sunday, September 25 9:00am - 3:00pm ~ Brooklyn Tech High School This event provides 8th and 7th grade students in foster care additional support with the high school planning and application process.",Education,New York City Children's Services,"29 Fort Greene Place
  Brooklyn, NY 11217",ongoing,September 24 2011,September 25 2011,40.68883,-73.9769,55.jpg
1,Volunteer Manager for Care to Share Project,UJA is currently looking for volunteer managers for its Care to Share Project.,Education,New York Legal Assistance Group,"7 Hanover Square
  New York, NY 10004",ongoing,August 24 2011,October 24 2012,40.70447,-74.0094,56.jpg
100,Mentor First-Generation College Students,"Work one-on-one with a First-Generation College Student to develop a life plan and provide general career guidance. Support, guide and advise students throughout their Fellowship.",Education,New York Needs You,"40 WORTH ST
  New York, NY 10013",ongoing,June 1 2011,June 18 2012,40.71736,-74.0069,57.jpg
25,MS131 Painting Project,Join us for a painting project at MS131 in Chinatown on September 10th 2011. As part of our day of service in remembrance of 9/11.,Education,Pace University Community & Volunteer Mobilization AmeriCorps,"41 Park Row
  New York, NY 10038",onetime,September 10 2011,September 10 2011,40.71187,-74.0064,58.jpg
150,Business Partner- PENCIL Partnership Program,"Through our renowned Partnership Program, PENCIL builds and supports customized relationships between business leaders and principals to inspire innovation and transform public schools.",Education,PENCIL,"30 26th Street
  New York, NY 10010",ongoing,September 01 2011,September 01 2012,40.74435,-73.9903,59.jpg
5,Cosmetologist and Barber Volunteer Vocational Instructors,"PAL Brownsville Beacon Center (BBC) seeks dedicated Cosmetology and Barber Volunteer Instructors to educate participants in different areas and forms of hair care and beauty. Instructor must be able to instruct, explain, and demonstrate techniques and methods high school aged students.",Education,Police Athletic League Of New York,"985 Rockaway Avenue
  Brooklyn, NY 11212",ongoing,October 1 2011,February 28 2012,40.65607,-73.9072,60.jpg
3,"Volunteers Sought - School for Autistic, Douglaston Qns.","We need help in our preschool building where we serve children with autism. Building is in Douglaston, Queens and we need volunteers for Clerical/Administrative Duties & Cleaning. QSAC is a non profit agency serving children with autism throughout NYC. Please help us make a difference today!",Education,"QSAC, Inc. (Quality Services for the Autism Community)","253 35th Street
  New York, NY 10001",ongoing,August 04 2011,August 03 2012,40.75252,-73.9921,61.jpg
15,B.A.C. Mentors,Are you interested in working with youth to help them develop real life skills that will help better their lives and become excited about school. Then come be a B.A.C. Mentor. We are looking for volunteers who can teach academic/career skills or life skills to high school students.,Education,Queens Satellite High School for Opportunity,"162 02 Hillside Avenue
  Jamaica, NY 11432",ongoing,March 8 2011,June 02 2012,40.70848,-73.8001,62.jpg
15,Reach Out and Read-Morris Heights Health Center,"Reach Out and Read makes literacy promotion a standard and important part of pediatric primary care, so that children are able to grow up with access to books and are able cultivate a love of reading early on.",Education,Reach Out and Read-Morris Heights Health Center,"85 Burnside Avenue
  Bronx, NY 10453",ongoing,February 28 2011,December 31 2011,40.85328,-73.9058,63.jpg
25,Volunteer at StreetSquash Summer Discovery 2011!,"Help squash barriers to success this summer at StreetSquash's Summer Discovery Program! Turn summer learning into fun by volunteering with 11 to 14 year olds on the squash courts, in academic enrichment sessions, and in a variety of other activities.",Education,Street Squash,"40 116th St
  New York, NY 10026",ongoing,July 5 2011,August 19 2011,40.80116,-73.9477,64.jpg
600,Mentors,"Mentors are asked to meet with their students 4-6 times a year, and maintain monthly contact by phone or email. SSP organizes events throughout the school year that mentors and students may attend together, or mentors may meet with students on their own â€“ the commitment is flexible.",Education,Student Sponsor Partners,"286 Madison Avenue
  New York, NY 10017",ongoing,September 1 2011,September 1 2012,40.75173,-73.9801,65.jpg
30,Tutor with The Fresh Air Fund,Become at tutor with The Fresh Air Fund and change a child's life forever!,Education,The Fresh Air Fund,"633 Third Avenue
  New York, NY 10017",ongoing,September 14 2011,December 15 2012,40.74991,-73.9751,66.jpg
100,Future Coach,"Inspire one high school Future Fellow by partnering with them for one school year. Together, during weekly 90 minute meetings, you will discover a passion, build a project, and spread inspiration throughout the school and community.",Education,The Future Project,"34 14th Street
  New York, NY 10011",ongoing,October 7 2011,May 15 2012,40.73677,-73.9954,67.jpg
5,Career Conference 2011- CALL FOR PROFESSIONALS!,We are seeking Professionals in a variety of industries to participate in roundtable discussions with students! We are also seeking Professionals who are interested in conducting a workshop for our scholars on Networking. Networking: People skills to get you where you want to go!,Education,The Harlem Educational Activities Fund,"2090 7th Ave
  New York, NY 10027",onetime,March 26 2011,March 26 2011,40.80864,-73.9486,68.jpg
6,Help Raise College Awareness- Become a Middle School Mentor!,HEAF seeks mentors for our NYCService-funded Middle School Mentoring Initiative. Mentors will be placed with small groups of students at Renaissance Military Leadership Academy in Harlem in order to positively impact the studentsâ€™ academic and emotional development in pursuit of college education.,Education,The Harlem Educational Activities Fund,"509 129th Street
  New York, NY 10027",ongoing,March 29 2011,April 6 2011,40.81521,-73.9551,69.jpg
2,ESL Teacher Assistant,work closely with NYS licensed ESL teacher to provide instruction to recently arrived immigrants. Classes are in the mornings and evenings. Requires at least 4 hours per week commitment. Teaching experience not required.,Education,The HopeLine,"421 155th Street
  Bronx, NY 10455",ongoing,September 6 2011,December 3 2012,40.82003,-73.9153,70.jpg
85,Does your organization need an intern?,The International High School @ Prospect Heights is currently seeking to provide un-paid assistance to local businesses and organizations from March - June 2011.,Education,The International High School @ Prospect Heights,"883 classon avenue
  Brooklyn, NY 11225",ongoing,March 3 2011,June 1 2011,40.67035,-73.9617,71.jpg
5,Reading Program Volunteers,The Wendy Hilliard Foundation is looking for volunteers to come in on Saturday's from 3:30-6:30PM at Riverbank State Park to read with gymnastics students before or after they come to class.,Education,The Wendy Hilliard Foundation,"550 155th Street
  New York, NY 10040",ongoing,March 12 2011,June 4 2011,40.83213,-73.9444,72.jpg
25,MATH tutors needed!,Help 6th-8th graders conquer their fear of basic math with individualized tutoring and real-world examples. No prior experience is necessary but motivated volunteers (all ages) who want to help kids succeed are key!,Education,"Top Honors, Inc","154 93rd St
  New York, NY 10025",ongoing,October 1 2011,June 30 2012,40.79157,-73.9705,73.jpg
10,Transportation Alternatives Bike Ambassador Data Entry Volunteers,"As we collect the names of thousands of safe street supporters all summer long, we need help entering them in our database. Our office has a fun, welcoming staff, and a fridge stocked with cold drinks! Come help us make NYC the bike friendly city of your dreams!",Education,Transportation Alternatives,"127 26th St
  New York, NY 10002",ongoing,June 07 2011,October 31 2011,40.60115,-73.9994,74.jpg
10,Tutors Needed!!!!,"Tutors are needed for our youth program Union East After 3. Subjects include math, science, english, spanish, and history.",Education,Union Settlement Association,"1775 Third Ave
  New York, NY 10029",ongoing,September 20 2011,September 19 2012,40.78657,-73.9483,75.jpg
2,Row New York Afterschool Volunteer Tutor for Middle School,"Volunteer your time to work alongside an all-girls, middle school rowing team, helping them succeed in academics during after-school time.",Education,Up2Us,"10 27 46th Ave
  Long Island City, NY 11101",ongoing,March 01 2011,April 01 2011,40.74673,-73.9519,76.jpg
4,Figure Skating in Harlem Volunteer Tutor,Figure Skating in Harlem is a pioneering non-profit organization that provides girls ages 6-18 with vital educational and skating opportunities that build self-worth and promote physical well being and academic achievement. Your work will benefit girls from a low-income community.,Education,Up2Us,"361 125th St
  New York, NY 10027",ongoing,March 22 2011,May 22 2011,40.811,-73.9531,77.jpg
2,Row New York Afterschool Volunteer Tutor for High School,"Volunteer your time to work alongside an all-girls, high school rowing team, helping them succeed in academics during after-school time.",Education,Up2Us,"10 27 46th Ave
  Long Island City, NY 11101",ongoing,March 01 2011,April 1 2011,40.74673,-73.9519,78.jpg
5,After school program volunteer,"We have 14 students in our after school program, ages 7 to 14. Volunteers will help the kids finish all their homework before they go home, assign extra classwork when they are finished and lead students in extracurricular activities.",Education,WisdomLand After School and Summer Day Camp,"132 03 Sanford Avenue
  Flushing, NY 11354",ongoing,February 23 2011,June 28 2011,40.7548,-73.8328,79.jpg
30,Arts Seminar Leaders for High School Program,"W!se is seeking volunteers to lead seminars for the w!se Institute at the High School for Economics and Finance in downtown Manhattan. Seminars are held every Wednesday from 1:24 to 2:24 for eight weeks. The first module of seminars would start Wednesday, September 21.",Education,Working in Support of Education (w!se),"High School of Economics New York, NY 10006",ongoing,September 21 2011,June 27 2012,40.70826,-74.0136,80.jpg
30,Dispatcher Trainee (Volunteer),The primary role of the volunteer dispatcher is to process emergency calls for help efficiently and smoothly. A dispatcher required to take information from a caller regarding a medical emergency; The Dispatcher is responsible for receiving and dispatching emergency calls to field units.,Emergency Preparedness,Bensonhurst Volunteer Ambulance Service,"8310 17th Avenue
  Brooklyn, NY 11214",ongoing,September 21 2011,September 21 2012,40.61025,-74.0032,81.jpg
1000,Memorial Sloan-Kettering Cancer Center,Help Cancer Patients with their treatement needs by donating blood or platelets.,Emergency Preparedness,Memorial Sloan-Kettering Cancer Center,"1250 First Avenue
  New York, NY 10065",ongoing,August 30 2011,August 29 2012,40.76482,-73.9582,82.jpg
100,Free CPR Training in Brooklyn!,Learn CPR. Save a life. Use your BLANK for good.,Emergency Preparedness,NYC Service,"420 83 Street
  Brooklyn, NY 11236",onetime,March 24 2011,March 24 2011,40.6246,-74.0267,83.jpg
25,Help Clean Up after Hurricane Irene in Brooklyn,Help clean up tree limbs and debris that came down during Hurricane Irene.,Emergency Preparedness,NYC Service,"253 Broadway
  New York, NY 10007",ongoing,August 28 2011,August 30 2011,40.71327,-74.0071,84.jpg
250,Help Clean Up after Hurricane Irene in Far Rockaway,Help clean up tree limbs that came down during Hurricane Irene.,Emergency Preparedness,NYC Service,"Shore Front Parkway Queens, NY 11693",onetime,September 1 2011,September 1 2011,40.58492,-73.8109,85.jpg
100,Help New York Cares with Hurricane Irene Clean-Up,Volunteer with New York Cares to clean-up after Hurricane Irene,Emergency Preparedness,NYC Service,"214 29th Street
  New York, NY 10001",ongoing,September 1 2011,September 6 2011,40.74826,-73.9939,86.jpg
250,Help Clean Up after Hurricane Irene in Far Rockaway,Help clean up tree limbs that came down during Hurricane Irene.,Emergency Preparedness,NYC Service,"Shore Front Parkway Queens, NY 11693",onetime,September 1 2011,September 1 2011,40.58492,-73.8109,87.jpg
25,Help Clean Up after Hurricane Irene in Manhattan,Help clean up tree limbs and debris that came down during Hurricane Irene.,Emergency Preparedness,NYC Service,"253 Broadway
  New York, NY 10007",ongoing,August 28 2011,August 30 2011,40.71327,-74.0071,88.jpg
25,Volunteer at a Hurricane Irene Evacuation Center - Queens,"Hundreds of New Yorkers spent Saturday night in a City shelter as a result of Hurricane Irene. Help volunteers as they wake up, spend the morning in the shelter, and transition home.",Emergency Preparedness,NYC Service,"253 Broadway
  New York, NY 10007",ongoing,August 28 2011,August 29 2011,40.71327,-74.0071,89.jpg
100,World Cares Center Annual Volunteer Recruitment Event,"We empower communities by training volunteers to prepare and respond to disasters. On 6/22/11, we will host an info session at our office where we are asking anyone interested in service to learn more about volunteer opportunities at WCC. Everyone has something to contribute.",Emergency Preparedness,World Cares Center,"520 8th Ave
  New York, NY 10018",ongoing,April 18 2011,April 17 2012,40.75361,-73.9924,90.jpg
1,Administrative Support Volunteer,"Goal of Position: To help provide office assistance related to ongoing programs in the Special Projects Department Activities: Data entry, filing, research, report creation and analysis, official document editing",Emergency Preparedness,World Cares Center,"520 8th Ave
  New York, NY 10018",ongoing,February 17 2011,July 31 2011,40.75361,-73.9924,91.jpg
